coach_id,name,team,position_college,position_title,position_start,position_end
12,Kristy Curry,Alabama,Texas A&M,Assistant Coach,1994,1996
12,Kristy Curry,Alabama,Stephen F. Austin,Assistant Coach,1993,1994
12,Kristy Curry,Alabama,Tulane,Assistant Coach,1991,1993
12,Kristy Curry,Alabama,Mansfield High School,Head Coach,1990,1991
12,Kristy Curry,Alabama,Weston High School,Head Coach,1988,1990
13,Brooks Donald Williams,Alabama,Alabama,Assistant Coach/Recruiting Coordinator,2025,NA
13,Brooks Donald Williams,Alabama,Southern Miss,Associate Head Coach,2024,2025
13,Brooks Donald Williams,Alabama,Louisiana-Monroe,Head Coach,2019,2023
13,Brooks Donald Williams,Alabama,Alabama,Assistant Coach,2016,2019
13,Brooks Donald Williams,Alabama,McNeese State,Head Coach,2007,2016
13,Brooks Donald Williams,Alabama,Southern Miss,Assistant Coach/Recruiting Coordinator,2004,2007
13,Brooks Donald Williams,Alabama,Memphis,Assistant Coach/Recruiting Coordinator,2003,2004
13,Brooks Donald Williams,Alabama,Arkansas at Little Rock,Assistant Coach,2000,2003
14,Kelly Curry,Alabama,Alabama,Assistant Coach,2013,NA
14,Kelly Curry,Alabama,Texas Tech,Assistant Coach,2006,2013
14,Kelly Curry,Alabama,Purdue,Assistant Coach,1999,2006
14,Kelly Curry,Alabama,Louisiana Tech,Assistant Coach,1998,1999
15,Tennille Adams,Alabama,Alabama,Assistant Coach,2023,NA
15,Tennille Adams,Alabama,Central Florida,Associate Head Coach,2022,2023
15,Tennille Adams,Alabama,Memphis,Associate Head Coach,2021,2022
15,Tennille Adams,Alabama,Wright State,Associate Head Coach,2018,2021
15,Tennille Adams,Alabama,Ball State,Assistant Coach,2015,2018
15,Tennille Adams,Alabama,Howard,Head Coach,2013,2015
15,Tennille Adams,Alabama,Northwestern,Assistant Coach,2008,2013
15,Tennille Adams,Alabama,American,Assistant Coach,2007,2008
15,Tennille Adams,Alabama,North Carolina A&T,Assistant Coach,2005,2007
15,Tennille Adams,Alabama,Lon Morris Junior College,Assistant Coach,2004,2005
16,Sydney-Anne Cottrell,Alabama,Alabama,"Assistant Coach, Director of Video and Creative Content",2023,NA
16,Sydney-Anne Cottrell,Alabama,Elon,"Director of Video, Scouting and Recruiting Operations",2022,2023
16,Sydney-Anne Cottrell,Alabama,Texas A&M,Video Coordinator,2021,2022
16,Sydney-Anne Cottrell,Alabama,Texas A&M,"Graduate Assistant, Assistant Video Coordinator",2020,2021
17,Chelsea Dungee-Artberry,Alabama,Alabama,Director of Player Development and Recruiting Operations/Assistant Coach,2025,NA
17,Chelsea Dungee-Artberry,Alabama,Tulsa,Assistant Coach,2024,2025
17,Chelsea Dungee-Artberry,Alabama,Troy,Assistant Coach,2022,2023
18,Kevin Markle,Alabama,Alabama,"Assistant Strength and Conditioning Coach, Women's Basketball",NA,NA
19,Katie Kuester,Army,Army West Point,Head Women's Basketball Coach,2025,NA
19,Katie Kuester,Army,Saint Joseph's,Recruiting Coordinator,2021,2025
19,Katie Kuester,Army,Saint Joseph's,Assistant Coach,2018,2021
19,Katie Kuester,Army,Saint Joseph's,Shooting Coach,2015,2018
19,Katie Kuester,Army,North Carolina,Staff Member,NA,NA
19,Katie Kuester,Army,Lehigh,Staff Member,NA,NA
19,Katie Kuester,Army,Loyola (Md.),Staff Member,NA,NA
20,Maggie Gallagher,Army,Army,Associate Head Coach/Director of Recruiting,2025,NA
20,Maggie Gallagher,Army,Lehigh,Assistant Coach,2024,2025
20,Maggie Gallagher,Army,Marist,Assistant Coach,2016,2024
20,Maggie Gallagher,Army,Lehigh,Director of Basketball Operations,2015,2016
21,Amber Raisner,Army,Army,Assistant Coach/Recruiting Coordinator,2025,NA
21,Amber Raisner,Army,Yale,Assistant Coach,2022,2025
22,Mary Sheehan,Army,Army,Assistant Coach/Assistant Recruiting Coordinator,2025,NA
22,Mary Sheehan,Army,Saint Joseph's,Director of Operations,2023,2025
23,Janelle Harrison,Army,Army,Assistant Coach/Operations,2025,NA
23,Janelle Harrison,Army,Stonehill,Assistant Coach,2024,2025
23,Janelle Harrison,Army,Post University,Assistant Coach,2023,2024
23,Janelle Harrison,Army,Bryant,Assistant Coach,2022,2023
23,Janelle Harrison,Army,Hartford,Director of Basketball Operations,2021,2022
24,Kristin Haynie,Central Michigan,Central Michigan,Head Women's Basketball Coach,2023,NA
24,Kristin Haynie,Central Michigan,Michigan State,Assistant Coach,2019,2023
24,Kristin Haynie,Central Michigan,Central Michigan,Assistant Coach,2014,2017
24,Kristin Haynie,Central Michigan,Eastern Michigan,Assistant Coach,2012,2014
25,Chelsie Butler,Central Michigan,Central Michigan,"Associate Head Coach, Recruiting Coordinator",2024,NA
25,Chelsie Butler,Central Michigan,Central Michigan,"Assistant Coach, Recruiting Coordinator",2023,2024
25,Chelsie Butler,Central Michigan,Youngstown State,"Assistant Coach, Recruiting Coordinator",2021,2023
25,Chelsie Butler,Central Michigan,Southeastern Louisiana,Assistant Coach,2017,2021
25,Chelsie Butler,Central Michigan,Akron,Graduate Manager,2015,2017
26,Jenna Allen,Central Michigan,Central Michigan,Assistant Coach,2023,NA
26,Jenna Allen,Central Michigan,Central Michigan,Assistant Coach,2014,2017
27,Jordan Walker,Central Michigan,Central Michigan,Assistant Coach,2025,NA
27,Jordan Walker,Central Michigan,Jacksonville,Assistant Coach,2024,2025
27,Jordan Walker,Central Michigan,Mercer,Assistant Coach,2023,2024
28,Felisha Legette-Jack,Syracuse,Syracuse,Head Women's Basketball Coach,2022,NA
28,Felisha Legette-Jack,Syracuse,Buffalo,Head Women's Basketball Coach,2012,2022
28,Felisha Legette-Jack,Syracuse,Indiana,Head Women's Basketball Coach,2006,2012
28,Felisha Legette-Jack,Syracuse,Hofstra,Head Women's Basketball Coach,2002,2006
28,Felisha Legette-Jack,Syracuse,Michigan State,Assistant Coach,2000,2002
28,Felisha Legette-Jack,Syracuse,Syracuse,Assistant Coach,1993,2000
28,Felisha Legette-Jack,Syracuse,Boston College,Assistant Coach,1991,1993
28,Felisha Legette-Jack,Syracuse,Westhill Senior High School,Head Coach,1989,1991
29,Natasha Adair,Syracuse,Syracuse,Associate Head Coach of Women's Basketball,2025,NA
29,Natasha Adair,Syracuse,Arizona State,Head Coach of Women's Basketball,2022,2025
29,Natasha Adair,Syracuse,Georgetown,Head Coach of Women's Basketball,NA,NA
29,Natasha Adair,Syracuse,College of Charleston,Head Coach of Women's Basketball,NA,NA
29,Natasha Adair,Syracuse,Delaware,Head Coach of Women's Basketball,2017,2022
29,Natasha Adair,Syracuse,Wake Forest,Associate Head Coach,2004,2012
29,Natasha Adair,Syracuse,Wake Forest,Assistant Coach,2004,2012
29,Natasha Adair,Syracuse,Georgetown,Assistant Coach,1998,2004
30,Khyreed Carter,Syracuse,Syracuse,Assistant Head Coach (Recruiting),2022,NA
30,Khyreed Carter,Syracuse,Buffalo,Assistant Coach,2017,2022
30,Khyreed Carter,Syracuse,Buffalo,Director of Operations,2016,2017
30,Khyreed Carter,Syracuse,Michigan State,Graduate Assistant,2015,2016
31,Amber Moore,Syracuse,Syracuse,Director of Basketball Operations,2022,NA
31,Amber Moore,Syracuse,University at Buffalo,Director of Basketball Operations,2021,2022
31,Amber Moore,Syracuse,Canisius College,Assistant Coach,2020,2021
31,Amber Moore,Syracuse,Houston Baptist,Assistant Coach,2019,2020
31,Amber Moore,Syracuse,Saint Leo University,Assistant Coach,NA,2019
32,Caleb Samson,Syracuse,Syracuse,Video Coordinator/Assistant Coach,2025,NA
32,Caleb Samson,Syracuse,Saint Joseph's,Video Coordinator/Assistant Coach,2024,2025
32,Caleb Samson,Syracuse,Illinois,Graduate Assistant,2022,2024
32,Caleb Samson,Syracuse,Sterling College,Assistant Coach/Recruiting Coordinator,2021,2022
33,Matt Wietslispach,Syracuse,Syracuse,Assistant Strength Coach - Women's Basketball,2023,NA
33,Matt Wietslispach,Syracuse,Niagara University,Head Strength and Conditioning Coach,2016,2023
33,Matt Wietslispach,Syracuse,BurnFatBeFit,Owner/Fitness Coach,2018,NA
33,Matt Wietslispach,Syracuse,CoachMePlus,Account Executive,NA,2016
33,Matt Wietslispach,Syracuse,Erie Community College,Strength and Conditioning Coach/Assistant Baseball Coach,2012,2014
33,Matt Wietslispach,Syracuse,Parkland College,Strength and Conditioning Coach,NA,2012
33,Matt Wietslispach,Syracuse,Bally Total Fitness,Personal Trainer,2011,NA
34,Bill Fennelly,Iowa State,Iowa State,Head Women's Basketball Coach,1995,NA
34,Bill Fennelly,Iowa State,Notre Dame,Assistant Coach,NA,1995
34,Bill Fennelly,Iowa State,Fresno State,Assistant Coach,NA,NA
34,Bill Fennelly,Iowa State,William Penn University,Assistant Coach,NA,NA
35,Jodi Steyer,Iowa State,Iowa State,Associate Head Coach,2012,NA
35,Jodi Steyer,Iowa State,Iowa State,Assistant Coach,2002,2012
35,Jodi Steyer,Iowa State,Toledo,Assistant Coach,1989,1997
36,Latoja Schaben,Iowa State,Iowa State,Assistant Coach,1996,NA
37,Billy Fennelly,Iowa State,Iowa State,Assistant Coach/General Manager,2010,NA
37,Billy Fennelly,Iowa State,Maryland,Assistant Recruiting Coordinator,2007,2008
37,Billy Fennelly,Iowa State,Northwestern,Director of Operations,2008,2010
37,Billy Fennelly,Iowa State,Iowa State,Team Manager,2004,2007
38,Emily Hatfield,Iowa State,Iowa State,Assistant Coach,2024,NA
38,Emily Hatfield,Iowa State,Iowa State,Coordinator of Video and Recruiting Operations,2022,2024
38,Emily Hatfield,Iowa State,Tennessee Tech,Director of Basketball Operations,2019,2022
38,Emily Hatfield,Iowa State,Tennessee Tech,Graduate Manager,2018,2019
39,Rob Jenkins,Iowa State,Iowa State,Assistant Coach,2024,NA
39,Rob Jenkins,Iowa State,Iowa State,Player Development Coordinator,2023,2024
39,Rob Jenkins,Iowa State,University of North Carolina,Graduate Assistant,2021,2023
39,Rob Jenkins,Iowa State,University of Wisconsin,Student Assistant,2017,2021
40,Kara Lawson,Duke,USA Basketball,"Head Coach, Women's National Team",2025,NA
40,Kara Lawson,Duke,Duke,Head Women's Basketball Coach,2020,NA
40,Kara Lawson,Duke,Boston Celtics,Assistant Coach,2020,2020
40,Kara Lawson,Duke,ESPN,"Game and Studio Analyst, Men's and Women's College Basketball and NBA",2007,2020
40,Kara Lawson,Duke,Washington Wizards,Television Analyst,NA,NA
41,Tia Jackson,Duke,Duke,Associate Head Coach,2022,NA
41,Tia Jackson,Duke,Duke,Assistant Coach,2020,2022
41,Tia Jackson,Duke,Miami,Assistant Coach,2015,2020
41,Tia Jackson,Duke,Rutgers,Assistant Coach,2011,2015
41,Tia Jackson,Duke,Washington,Head Women's Basketball Coach,2007,2011
41,Tia Jackson,Duke,Duke,Assistant Coach,2005,2007
41,Tia Jackson,Duke,UCLA,Assistant Coach/Recruiting Coordinator,2000,2005
41,Tia Jackson,Duke,Stanford,Assistant Coach,1999,2000
41,Tia Jackson,Duke,VCU,Assistant Coach,1996,1999
42,Kyra Elzy,Duke,Duke,Assistant Coach,2024,NA
42,Kyra Elzy,Duke,Kentucky,Head Women's Basketball Coach,2020,2024
42,Kyra Elzy,Duke,Kentucky,Associate Head Coach,2016,2020
42,Kyra Elzy,Duke,Tennessee,Associate Head Coach,2012,2016
42,Kyra Elzy,Duke,Tennessee,Assistant Coach,2012,2016
42,Kyra Elzy,Duke,Kentucky,Assistant Coach,2008,2012
42,Kyra Elzy,Duke,Kansas,Assistant Coach,2004,2008
42,Kyra Elzy,Duke,Western Kentucky University,Recruiting Coordinator/Assistant Coach,2002,2004
42,Kyra Elzy,Duke,Virginia Tech,Administrative Assistant,2001,2002
43,Karen Lange,Duke,Duke,Assistant Coach,2022,NA
43,Karen Lange,Duke,Georgia,Associate Head Coach,2015,2022
43,Karen Lange,Duke,Charlotte,Associate Head Coach,2013,2015
43,Karen Lange,Duke,Charlotte,Assistant Coach,2011,2013
43,Karen Lange,Duke,MidAmerica Nazarene University,Head Coach,2010,2011
43,Karen Lange,Duke,Kansas,Assistant Coach,2004,2010
43,Karen Lange,Duke,Virginia Tech,Assistant Coach,1997,2004
44,Karen Middleton,Duke,Duke,Assistant Coach,2023,NA
44,Karen Middleton,Duke,UW-La Crosse,Head Women's Basketball Coach,2016,2023
44,Karen Middleton,Duke,Cal State Fullerton,Associate Head Coach,2015,2016
44,Karen Middleton,Duke,Western Carolina,Head Women's Basketball Coach,2009,2015
44,Karen Middleton,Duke,Illinois,Assistant Coach,2007,2009
44,Karen Middleton,Duke,Stanford,Assistant Coach,1997,2007
44,Karen Middleton,Duke,Eastern Washington,Assistant Coach,1994,1997
44,Karen Middleton,Duke,South Carolina,Assistant Coach,1992,1994
44,Karen Middleton,Duke,South Carolina,Volunteer Assistant Coach,1991,1992
45,Pierre Miller,Duke,Duke,Assistant Coach,2023,NA
45,Pierre Miller,Duke,Duke,Director of Player Development,2023,2023
45,Pierre Miller,Duke,Louisiana Tech,Assistant Coach,2022,2023
45,Pierre Miller,Duke,Campbell,Associate Head Coach,2021,2022
45,Pierre Miller,Duke,Campbell,Assistant Coach,2016,2021
45,Pierre Miller,Duke,Presbyterian,Assistant Coach,2013,2016
46,Aaron Johnston,South Dakota State,South Dakota State,Head Women's Basketball Coach,2000,NA
46,Aaron Johnston,South Dakota State,South Dakota State,Golf Coach,1998,1998
46,Aaron Johnston,South Dakota State,South Dakota State,"Graduate Assistant Coach, Men's Basketball",1997,1999
46,Aaron Johnston,South Dakota State,North Dakota State College of Science,Assistant Coach,1996,1997
47,Sadie Thramer,South Dakota State,South Dakota State,Associate Head Coach & Recruiting Coordinator,2025,NA
47,Sadie Thramer,South Dakota State,South Dakota State,Assistant Coach & Recruiting Coordinator,2021,2025
47,Sadie Thramer,South Dakota State,Kansas State,Director of Recruiting Coordination,2021,2021
47,Sadie Thramer,South Dakota State,Kansas State,Director of Student-Athlete Development,2019,2021
47,Sadie Thramer,South Dakota State,Kansas State,Director of Basketball Administration,2018,2019
47,Sadie Thramer,South Dakota State,Omaha,Assistant Coach & Recruiting Coordinator,2017,2018
47,Sadie Thramer,South Dakota State,Omaha,Director of Basketball Operations,2016,2017
48,Macy Stanage,South Dakota State,South Dakota State,Assistant Coach,2024,NA
48,Macy Stanage,South Dakota State,Northwestern,Assistant Coach,2021,2024
48,Macy Stanage,South Dakota State,South Dakota State,Graduate Assistant,2020,2021
49,Kacie Jones,South Dakota State,South Dakota State,Assistant Coach,2024,NA
49,Kacie Jones,South Dakota State,Kansas State,Director of Basketball Administration,2022,2024
49,Kacie Jones,South Dakota State,Wayne State,Assistant Coach,2020,2022
49,Kacie Jones,South Dakota State,Northwestern College,Graduate Assistant Coach,2019,2020
50,Shelby Selland,South Dakota State,South Dakota State,Assistant Coach & Director of Operations,2024,NA
50,Shelby Selland,South Dakota State,South Dakota State,Director of Operations,2021,2024
50,Shelby Selland,South Dakota State,Brandon Valley School District,Varsity Assistant Coach,NA,2021
50,Shelby Selland,South Dakota State,Brandon Valley School District,Freshman Girls' Basketball Coach,NA,2021
50,Shelby Selland,South Dakota State,Brandon Valley School District,Seventh and Eighth Grade Math and ELA Teacher,NA,2021
51,Erika Sage,South Dakota State,South Dakota State,Assistant Coach & Director of Player Development,2023,NA
51,Erika Sage,South Dakota State,South Dakota State,Director of Player Development,2022,2023
51,Erika Sage,South Dakota State,South Dakota State,Graduate Assistant,2021,2022
51,Erika Sage,South Dakota State,Northwestern College,Student Assistant Coach,2020,2021
52,Paige Hanssen,South Dakota State,South Dakota State,Strength & Conditioning Coach,NA,NA
53,Ganiyat Adeduntan,George Washington,George Washington,Head Women's Basketball Coach,2025,NA
53,Ganiyat Adeduntan,George Washington,Colgate,Head Women's Basketball Coach,2021,2025
53,Ganiyat Adeduntan,George Washington,George Washington,Assistant Coach,2017,2021
53,Ganiyat Adeduntan,George Washington,Northeastern,Assistant Coach,2014,2017
54,John Hampton,George Washington,George Washington,Assistant Coach,2025,NA
54,John Hampton,George Washington,Rutgers,Assistant Coach,2022,2025
54,John Hampton,George Washington,Saint Joseph's,Assistant Head Coach,2018,2021
54,John Hampton,George Washington,Saint Joseph's,Assistant Coach,2015,2018
54,John Hampton,George Washington,Clarkson University,Head Coach,2010,2014
55,Brianna Finch,George Washington,George Washington,Assistant Coach,2024,NA
55,Brianna Finch,George Washington,Boston University,Associate Head Coach,2022,2024
55,Brianna Finch,George Washington,Boston University,Assistant Coach/Recruiting Coordinator,2020,2022
55,Brianna Finch,George Washington,Davidson,Assistant Coach/Director of Player Development,2019,2020
55,Brianna Finch,George Washington,New Mexico Highlands,Head Coach,2014,2016
55,Brianna Finch,George Washington,Lemvig Basketball Club,Head Coach,NA,NA
56,Sherill Baker,George Washington,George Washington,Assistant Coach,2025,NA
56,Sherill Baker,George Washington,Bucknell,Associate Head Coach/Recruiting Coordinator,2023,2025
56,Sherill Baker,George Washington,George Washington,Assistant Coach/Recruiting Coordinator,2022,2023
56,Sherill Baker,George Washington,Georgia State,Assistant Coach/Recruiting Coordinator,2019,2022
56,Sherill Baker,George Washington,Georgia State,Assistant Coach,2016,2019
56,Sherill Baker,George Washington,Kennesaw State,Assistant Coach,2015,2019
56,Sherill Baker,George Washington,Auburn,Assistant Coach,2014,2016
56,Sherill Baker,George Washington,Auburn,Video Coordinator/Director of Basketball Services,2012,2014
57,Lauren Coleman,George Washington,George Washington,Assistant Coach,2025,NA
57,Lauren Coleman,George Washington,George Washington,Director of Basketball Operations,2024,2025
57,Lauren Coleman,George Washington,Colgate,Assistant Coach/Director of Basketball Operations,2024,2024
57,Lauren Coleman,George Washington,North Platte Community College,Assistant Coach/Assistant Director of Multicultural Leadership and Engagement,2022,2024
57,Lauren Coleman,George Washington,Bachman High School,Head Girls Basketball Coach,2019,2022
57,Lauren Coleman,George Washington,Team Go Get It,Program Director and Head Coach,2019,2022
58,Andrew Butler,George Washington,George Washington,Strength & Conditioning Coach,2024,NA
58,Andrew Butler,George Washington,Saint Francis University,Director of Athletic Performance,NA,2024
58,Andrew Butler,George Washington,St. Bonaventure University,Assistant Strength and Conditioning Coach,NA,NA
59,Sam Purcell,Mississippi State,Mississippi State,Head Women's Basketball Coach,2022,NA
59,Sam Purcell,Mississippi State,Louisville,Associate Coach,2017,2022
59,Sam Purcell,Mississippi State,Louisville,Assistant Coach,2013,2017
59,Sam Purcell,Mississippi State,Georgia Tech,Assistant Coach,NA,2013
59,Sam Purcell,Mississippi State,Tulsa,Assistant Coach,NA,NA
59,Sam Purcell,Mississippi State,Auburn,Assistant Coach,NA,NA
60,Fred Castro,Mississippi State,Mississippi State,Associate Head Coach/Offensive Coordinator,2024,NA
60,Fred Castro,Mississippi State,Eastern Michigan,Head Women's Basketball Coach,2016,2024
60,Fred Castro,Mississippi State,Washington,Assistant Coach/Offensive Coordinator,2013,2016
60,Fred Castro,Mississippi State,Tulsa,Assistant Coach/Recruiting Coordinator,2011,2013
60,Fred Castro,Mississippi State,Albany,Assistant Coach,2010,2011
60,Fred Castro,Mississippi State,Mercer,Assistant Coach,2008,2010
60,Fred Castro,Mississippi State,Rogers State University,Assistant Men's Basketball Coach,2007,2008
60,Fred Castro,Mississippi State,Oklahoma,Video/Travel Coordinator,2005,2007
60,Fred Castro,Mississippi State,Oklahoma,Volunteer Coach,2004,2005
60,Fred Castro,Mississippi State,Oklahoma,"Instructor, Aviation Department",2004,2005
60,Fred Castro,Mississippi State,Oklahoma,Manager/Scout Team Player,2001,2004
61,Anita Howard,Mississippi State,Mississippi State,Assistant Coach / Recruiting Coordinator,2024,NA
61,Anita Howard,Mississippi State,Georgia Southern,Head Women's Basketball Coach,2019,2024
61,Anita Howard,Mississippi State,Columbus State,Head Women's Basketball Coach,2016,2019
61,Anita Howard,Mississippi State,Livingstone College,Head Women's Basketball Coach,2014,2016
61,Anita Howard,Mississippi State,Salem College,Head Women's Basketball Coach,2012,2014
61,Anita Howard,Mississippi State,St. Augustine's,Assistant Coach,NA,2012
61,Anita Howard,Mississippi State,Shaw,Assistant Coach,NA,NA
61,Anita Howard,Mississippi State,Winston-Salem State,Assistant Coach,NA,NA
61,Anita Howard,Mississippi State,Savannah High School,Head Coach,NA,NA
62,Samantha Williams,Mississippi State,Mississippi State,Assistant Coach / Chief Of Basketball Strategy,2024,NA
62,Samantha Williams,Mississippi State,Tennessee,Assistant Coach,2021,2024
62,Samantha Williams,Mississippi State,Eastern Kentucky,Head Women's Basketball Coach,2019,2021
62,Samantha Williams,Mississippi State,Louisville,Assistant Head Coach,2011,2019
62,Samantha Williams,Mississippi State,Duke,Assistant Coach / Recruiting Coordinator,2007,2011
62,Samantha Williams,Mississippi State,DePaul,Assistant Coach / Recruiting Coordinator,2004,2007
62,Samantha Williams,Mississippi State,Auburn,Assistant Coach,2003,2004
62,Samantha Williams,Mississippi State,Columbus State University,Assistant Coach,2002,2003
62,Samantha Williams,Mississippi State,St. Louis,Assistant Coach,2001,2002
63,Tony Dukes,Mississippi State,Mississippi State,Assistant Women's Basketball Coach / Senior Director of Scouting and Analytics,2023,NA
63,Tony Dukes,Mississippi State,Overtime Elite,Head Video Coordinator / Special Assistant to Head Coach,2021,2023
63,Tony Dukes,Mississippi State,Los Angeles Lakers,Coaching Associate / Advanced Scout,2019,2021
63,Tony Dukes,Mississippi State,San Antonio Spurs,Video Assistant,2018,2019
63,Tony Dukes,Mississippi State,NBA G-League,Coach,2017,2018
63,Tony Dukes,Mississippi State,Louisville,Graduate Assistant,2015,2017
64,Kaiti Jones,Mississippi State,Mississippi State,"Strength & Conditioning Coach, Women's Basketball",2022,NA
64,Kaiti Jones,Mississippi State,Sacramento Kings,Performance Coach/Sport Scientist,2021,2022
64,Kaiti Jones,Mississippi State,Louisville,Senior Performance Coach,2018,2021
64,Kaiti Jones,Mississippi State,Louisville,Performance Coach,2017,2018
64,Kaiti Jones,Mississippi State,Philadelphia Union Academy,Strength/Athletic Development Coach/Head Athletic Trainer,2015,2017
65,Teri Moren,Indiana,Indiana,Head Women's Basketball Coach,2014,NA
65,Teri Moren,Indiana,Indiana State,Head Women's Basketball Coach,2010,2014
65,Teri Moren,Indiana,Georgia Tech,Associate Head Coach,2007,2010
65,Teri Moren,Indiana,University of Indianapolis,Head Women's Basketball Coach,2000,2007
65,Teri Moren,Indiana,Northwestern,Assistant Coach,1998,2000
65,Teri Moren,Indiana,Butler,Assistant Coach,1992,1998
66,Rhet Wierzba,Indiana,Indiana,Associate Head Coach,2021,NA
66,Rhet Wierzba,Indiana,Indiana,Assistant Coach,2014,2021
66,Rhet Wierzba,Indiana,Indiana State,Assistant Coach,2013,2014
